경우의 수,게임 기록,총보상,결과
141,일반 공격(성공: 3.00) / 틈새 공격(성공: -1.61) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.89,승리
142,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.63) / 일반 공격(성공: 4.50),0.87,승리
143,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.63) / 일반 공격(성공: 4.50),0.87,승리
144,틈새 공격(성공: 0.37) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),0.87,승리
145,일반 공격(성공: 1.00) / 일반 공격(실패: -1.63) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),0.87,승리
146,일반 공격(성공: 3.00) / 틈새 공격(성공: -1.64) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.86,승리
147,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.64) / 일반 공격(성공: 4.50),0.86,승리
148,틈새 공격(성공: 0.35) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),0.85,승리
149,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.65) / 일반 공격(성공: 4.50),0.85,승리
150,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.66) / 일반 공격(성공: 4.50),0.84,승리
151,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.66) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),0.84,승리
152,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.67) / 일반 공격(성공: 4.50),0.83,승리
153,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 틈새 공격(성공: -1.68) / 일반 공격(성공: 4.50),0.82,승리
154,일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 틈새 공격(성공: -1.73) / 일반 공격(성공: 4.50),0.77,승리
155,일반 공격(성공: 1.00) / 틈새 공격(성공: -1.75) / 일반 공격(성공: -1.00) / 일반 공격(성공: 2.50),0.75,승리
156,틈새 공격(성공: 0.22) / 일반 공격(성공: -1.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),0.72,승리
157,일반 공격(성공: 1.10) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.6,승리
158,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.5,승리
159,일반 공격(성공: 1.00) / 일반 공격(성공: -3.00) / 일반 공격(성공: 2.50),0.5,승리
160,일반 공격(실패: 0.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),0.5,승리
161,일반 공격(성공: 1.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: -1.50),0.5,승리
162,일반 공격(성공: 3.00) / 일반 공격(실패: -2.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),0.5,승리
163,일반 공격(성공: 3.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.50),0.5,승리
164,일반 공격(성공: 3.00) / 일반 공격(성공: -3.00) / 일반 공격(성공: 0.50),0.5,승리
165,일반 공격(성공: 1.00) / 일반 공격(실패: -4.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 4.50),0.5,승리
166,일반 공격(성공: 1.00) / 틈새 공격(성공: 0.49) / 일반 공격(성공: -1.00),0.49,패배
167,일반 공격(성공: 1.00) / 일반 공격(성공: -0.50) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.0,승리
168,일반 공격(성공: 1.00) / 일반 공격(성공: -1.00),0.0,패배
169,일반 공격(성공: 1.49) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.01,승리
170,일반 공격(성공: 1.47) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.03,승리
171,일반 공격(성공: 1.45) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.05,승리
172,일반 공격(성공: 1.00) / 일반 공격(성공: -0.56) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.06,승리
173,일반 공격(성공: 1.43) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.07,승리
174,일반 공격(성공: 1.00) / 일반 공격(성공: -0.59) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.09,승리
175,일반 공격(성공: 1.41) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.09,승리
176,일반 공격(성공: 1.39) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.11,승리
177,일반 공격(성공: 1.38) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.12,승리
178,일반 공격(성공: 1.34) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.16,승리
179,일반 공격(성공: 1.33) / 일반 공격(성공: -1.00) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.17,승리
180,일반 공격(성공: 1.00) / 일반 공격(성공: -0.68) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.18,승리
181,일반 공격(성공: 1.31) / 일반 공격(성공: -3.00) / 일반 공격(성공: 1.00) / 일반 공격(성공: 0.50),-0.19,승리
182,일반 공격(성공: 1.00) / 일반 공격(성공: -0.74) / 일반 공격(성공: -1.00) / 일반 공격(성공: 0.50),-0.24,승리
